Airline,Departing to,Flight,Scheduled,Estimated,Remarks,Terminal,Gate
Delta Air Lines,New York/JFK,592,下午12:55,下午12:55,On Time,1,43
United,Houston/Intercontinental,1615,下午12:56,下午12:56,On Time,3,64
United,Dallas-Fort Worth,797,下午01:00,下午01:00,On Time,3,72
Alaska Airlines,Portland,1801,下午01:00,下午01:00,On Time,2,52
EVA AIR,Taipei,7,下午01:00,下午01:00,On Time,Int'l,A11
United,Washington/Dulles,1400,下午01:00,下午01:00,On Time,3,87
United,PAE,5880,下午01:02,下午01:02,On Time,3,76
United,Monterey,5201,下午01:03,下午01:03,On Time,3,84B
Southwest,Denver,1373,下午01:05,下午01:05,On Time,1,B12
Air Canada,Vancouver,569,下午01:05,下午01:05,,Int'l,G91
Frontier Airlines,Denver,668,下午01:06,下午01:06,,Int'l,A10
United,Calgary,5469,下午01:07,下午01:07,,3,79
United,Boston,242,下午01:10,下午01:10,,3,83
American Airlines,Charlotte,1956,下午01:10,下午01:10,,2,57
Southwest,Denver,2408,下午01:10,下午01:10,,1,B12
United,Mexico City,821,下午01:10,下午01:10,,Int'l,75
Alaska Airlines,New York/JFK,1024,下午01:10,下午01:32,,2,53
United,Shanghai,857,下午01:10,下午01:10,,Int'l,G102
Cathay Pacific,Hong Kong,879,下午01:15,下午01:15,On Time,Int'l,
Alaska Airlines,Las Vegas,712,下午01:15,下午01:15,,2,54A
United,Portland,2055,下午01:15,下午01:15,,3,62
United,Newark,2239,下午01:15,下午01:35,,3,85
Southwest,Burbank,1336,下午01:20,下午01:20,,1,B13
United,Hong Kong,869,下午01:20,下午01:20,,Int'l,G95
Delta Air Lines,Salt Lake City,522,下午01:26,下午01:26,On Time,1,48
United,Denver,492,下午01:28,下午01:28,On Time,3,90
United,Washington/Dulles,727,下午01:30,下午01:30,,3,74
WestJet,Calgary,1509,下午01:30,下午01:30,,Int'l,A2
Southwest,San Diego,1777,下午01:30,下午01:30,On Time,1,B17
Air Canada,Toronto,756,下午01:30,下午01:30,On Time,Int'l,G93
United,Palm Springs,5468,下午01:45,下午01:45,On Time,3,84D
Southwest,Los Angeles,1899,下午01:35,下午01:35,On Time,1,B9
AeroMexico,Mexico City,669,下午01:35,下午01:35,On Time,Int'l,A12
Alaska Airlines,Palm Springs,3368,下午01:40,下午01:43,,2,50A
American Airlines,Dallas-Fort Worth,2248,下午01:41,下午01:41,On Time,2,45A
Southwest,Chicago/Midway,488,下午01:45,下午01:45,On Time,1,B18
United,Tucson,5787,下午01:49,下午01:49,On Time,3,84B
United,Frankfurt,58,下午01:50,下午02:10,,Int'l,G94
United,Salt Lake City,5687,下午01:54,下午01:54,On Time,3,77B
United,Munich,194,下午01:55,下午01:55,On Time,Int'l,G96
KLM Royal Dutch Airlines,Amsterdam,606,下午01:55,下午02:39,,Int'l,A4
United,Chicago/O'Hare,698,下午01:55,下午02:45,,3,65
United,Los Angeles,1248,下午02:00,下午02:11,,3,81
Alaska Airlines,Los Angeles,1928,下午02:00,下午02:00,On Time,2,55
United,Seattle,1082,下午02:04,下午02:04,On Time,3,61
JetBlue,Boston,534,下午02:03,下午02:03,On Time,1,B7
United,Taipei,871,下午02:05,下午02:05,On Time,Int'l,G100
Southwest,Denver,455,下午02:05,下午02:05,On Time,1,B14
Delta Air Lines,New York/JFK,490,下午02:05,下午02:05,On Time,1,40
Alaska Airlines,Orange County,2897,下午02:05,下午02:05,On Time,2,50B
United,Honolulu/Oahu,300,下午02:10,下午02:10,On Time,3,86
Delta Air Lines,Seattle,1470,下午02:08,下午03:03,,1,48
American Airlines,Chicago/O'Hare,2634,下午02:10,下午02:10,On Time,2,56A
